"","Row","Identifier.1.x","Identifier.2.x","Amount.x","d.13C.12C.x","d.15N.14N.y"
"1",3,"protein",NA,NA,-26.442,5.706
"2",4,"protein",NA,NA,-26.976,5.715
"3",5,"acetanilide",NA,NA,-28.435,-1.314
"4",6,"acetanilide",NA,NA,-28.563,-1.259
"5",7,"peach",NA,NA,-28.557,1.678
"6",8,"peach",NA,NA,-28.419,1.595
"7",9,"sorghum",NA,NA,-17.718,1.197
"8",10,"sorghum",NA,NA,-18.241,1.286
"9",12,"WCW.112",NA,NA,-34.478,-0.638
"10",13,"WCW.114",NA,NA,-32.007,-0.454
"11",14,"WCW.116",NA,NA,-30.647,-2.602
"12",15,"WCW.117",NA,NA,-28.48,-2.089
"13",16,"WCW.118",NA,NA,-31.121,-1.302
"14",17,"WCW.123",NA,NA,-33.331,-0.827
"15",18,"WCW.125",NA,NA,-34.656,-1.765
"16",19,"WCW.127",NA,NA,-35.377,-2.083
"17",20,"WCW.138",NA,NA,-31.237,0.504
"18",21,"WCW.142",NA,NA,-31.337,-0.446
"19",22,"WCW.143",NA,NA,-30.673,-0.047
"20",23,"WCW.144",NA,NA,-26.998,-2.728
"21",24,"WCW.145",NA,NA,-24.992,-1.347
"22",25,"WCW.146",NA,NA,-30.669,-3.171
"23",26,"WCW.147",NA,NA,-30.509,0.95
"24",27,"WCW.148",NA,NA,-31.472,0.137
"25",28,"WCW.149",NA,NA,-32.136,1.124
"26",29,"EYS.151",NA,NA,-26.035,-0.44
"27",30,"EYS.152",NA,NA,-26.454,-0.012
"28",31,"EYS.153",NA,NA,-26.467,0.932
"29",32,"EYS.154",NA,NA,-30.974,-0.179
"30",33,"EYS.155",NA,NA,-29.945,0.254
"31",34,"EYS.156",NA,NA,-30.635,-0.738
"32",35,"EYS.157",NA,NA,-29.331,-3.313
"33",36,"EYS.158",NA,NA,-28.09,-1.228
"34",37,"EYS.159",NA,NA,-29.736,-2.166
"35",38,"EYS.160",NA,NA,-30.908,0.29
"36",39,"EYS.161",NA,NA,-31.081,0.718
"37",40,"EYS.162",NA,NA,-30.105,1.509
"38",42,"protein",NA,NA,-26.024,4.984
"39",43,"protein",NA,NA,-26.803,5.612
"40",44,"acetanilide",NA,NA,-27.183,-1.432
"41",45,"acetanilide",NA,NA,-26.875,-1.672
"42",46,"peach",NA,NA,-27.34,1.145
"43",47,"peach",NA,NA,-27.353,1.224
"44",48,"sorghum",NA,NA,-16.66,0.681
"45",49,"sorghum",NA,NA,-16.035,0.556
